image_url,desc1,desc2
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-adrianna-calvo-564905.jpg,The building had a beautiful mural of a fish on the side of it.,The white buildings have paintings on both of them.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-amina-filkins-5409662.jpg,The woman is looking out of the doorway on the sunny day.,The woman is standing inside at a door.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-anna-shvets-4588065.jpg,The small white bunny is wearing glasses.,A white rabbit wearing an yellow glasses.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-badr-khechchab-4233098.jpg,The man is skateboarding at the park.,The man was riding his skateboard all over the park with the sun shining down.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-bia-sousa-4493795.jpg,A woman is doing a card trick.,The woman is wearing a red shirt and glasses and throwing red cards.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-clive-kim-4220967.jpg,A volcano is erupting bright red lava out the top.,A Beautiful view of a volcano is erupting at night.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-cottonbro-4769486.jpg,A student seems very exhausted from studying.,The woman is sitting in the chair with a book on her face.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-edu-carvalho-2050975.jpg,An old woman in overhauls is holding a basket of pretty flowers.,An old lady is enjoying her time and carrying a bag of red roses.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-eric-christian-capilador-6008360.jpg,A stylish girl is posing.,The woman in the white shirt is standing outside pointing toward something.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-eugene-dorosh-739407.jpg,A beautiful scenic shot of the Eiffel Tower with an overcast colorful sky.,The Eiffel Tower in the morning sun.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-evgeny-tchebotarev-4101555.jpg,A very breathtaking view of a rainbow on the top of mountain.,The rainbow is showing above the mountain.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-fauxels-3182749.jpg,The woman is reading something as people sit on their laptops.,A girl is giving a presentation to a group of her peers.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-godisable-jacob-1394882.jpg,Amy was giggling as her friend michelle fell down the stairs.,The woman in the dress is standing outside.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-guillaume-meurice-2815028.jpg,There are super tall sky scrapers that look near the clouds.,The building is very tall.
https://nets213hw.s3.us-east-2.amazonaws.com/photos/pexels-julia-khalimova-3649190.jpg,The boat was floating on the water as is coasted down the canal.,Tourists are riding in a gondola  in venice while others are walking on a bridge above them.
